date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2023-10-07 02:02:01,100,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-200.0,200.0,0.0,0.0
2023-10-07 02:03:33,100,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-200.0,200.0,0.0
2023-10-07 02:05:04,200,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-200.0,200.0
2023-10-07 02:05:17,100,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-200.0
2023-10-07 02:08:34,100,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0
2023-10-07 02:11:44,100,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0
2023-10-07 02:12:12,100,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0
2023-10-07 02:15:48,100,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0
2023-10-07 02:16:09,100,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0,100.0
2023-10-07 02:17:42,100,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,-100.0
2023-10-07 02:19:10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0
2023-10-07 02:20:18,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0
2023-10-07 02:21:37,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0
2023-10-07 02:26:54,200,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0
