Sku,Date,ShippedQty
19,2013-01-01,208
19,2013-01-02,208
19,2013-01-03,230
19,2013-01-04,238
19,2013-01-05,260
19,2013-01-06,261
19,2013-01-07,190
19,2013-01-08,226
19,2013-01-09,217
19,2013-01-10,223
19,2013-01-11,248
19,2013-01-12,269
19,2013-01-13,290
19,2013-01-14,189
19,2013-01-15,216
19,2013-01-16,203
19,2013-01-17,233
19,2013-01-18,236
19,2013-01-19,204
19,2013-01-20,261
19,2013-01-21,171
19,2013-01-22,208
19,2013-01-23,224
19,2013-01-24,237
19,2013-01-25,247
19,2013-01-26,249
19,2013-01-27,283
19,2013-01-28,191
19,2013-01-29,201
19,2013-01-30,213
19,2013-01-31,221
19,2013-02-01,267
19,2013-02-02,258
19,2013-02-03,282
19,2013-02-04,194
19,2013-02-05,234
19,2013-02-06,260
19,2013-02-07,270
19,2013-02-08,286
19,2013-02-09,269
19,2013-02-10,318
19,2013-02-11,205
19,2013-02-12,218
19,2013-02-13,254
19,2013-02-14,231
19,2013-02-15,280
19,2013-02-16,316
19,2013-02-17,320
19,2013-02-18,217
19,2013-02-19,258
19,2013-02-20,247
19,2013-02-21,229
19,2013-02-22,266
19,2013-02-23,274
19,2013-02-24,288
19,2013-02-25,198
19,2013-02-26,241
19,2013-02-27,229
19,2013-02-28,275
19,2013-03-01,342
19,2013-03-02,310
19,2013-03-03,350
19,2013-03-04,257
19,2013-03-05,294
19,2013-03-06,288
19,2013-03-07,311
19,2013-03-08,310
19,2013-03-09,343
19,2013-03-10,340
19,2013-03-11,253
19,2013-03-12,277
19,2013-03-13,287
19,2013-03-14,291
19,2013-03-15,322
19,2013-03-16,333
19,2013-03-17,376
19,2013-03-18,246
19,2013-03-19,291
19,2013-03-20,288
19,2013-03-21,283
19,2013-03-22,302
19,2013-03-23,367
19,2013-03-24,318
19,2013-03-25,259
19,2013-03-26,289
19,2013-03-27,294
19,2013-03-28,296
19,2013-03-29,314
19,2013-03-30,314
19,2013-03-31,361
19,2013-04-01,279
19,2013-04-02,346
19,2013-04-03,325
19,2013-04-04,396
19,2013-04-05,346
19,2013-04-06,395
19,2013-04-07,387
19,2013-04-08,270
19,2013-04-09,328
19,2013-04-10,329
19,2013-04-11,382
19,2013-04-12,354
19,2013-04-13,360
19,2013-04-14,419
19,2013-04-15,269
19,2013-04-16,316
19,2013-04-17,310
19,2013-04-18,332
19,2013-04-19,360
19,2013-04-20,387
19,2013-04-21,445
19,2013-04-22,259
19,2013-04-23,347
19,2013-04-24,319
19,2013-04-25,350
19,2013-04-26,383
19,2013-04-27,379
19,2013-04-28,432
19,2013-04-29,244
19,2013-04-30,291
19,2013-05-01,338
19,2013-05-02,388
19,2013-05-03,397
19,2013-05-04,438
19,2013-05-05,485
19,2013-05-06,248
19,2013-05-07,340
19,2013-05-08,317
19,2013-05-09,390
19,2013-05-10,397
19,2013-05-11,443
19,2013-05-12,426
19,2013-05-13,298
19,2013-05-14,348
19,2013-05-15,361
19,2013-05-16,359
19,2013-05-17,371
19,2013-05-18,419
19,2013-05-19,482
19,2013-05-20,293
19,2013-05-21,358
19,2013-05-22,364
19,2013-05-23,354
19,2013-05-24,379
19,2013-05-25,415
19,2013-05-26,453
19,2013-05-27,309
19,2013-05-28,380
19,2013-05-29,322
19,2013-05-30,385
19,2013-05-31,382
19,2013-06-01,411
19,2013-06-02,454
19,2013-06-03,324
19,2013-06-04,346
19,2013-06-05,348
19,2013-06-06,392
19,2013-06-07,430
19,2013-06-08,478
19,2013-06-09,481
19,2013-06-10,309
19,2013-06-11,376
19,2013-06-12,384
19,2013-06-13,412
19,2013-06-14,426
19,2013-06-15,435
19,2013-06-16,476
19,2013-06-17,297
19,2013-06-18,380
19,2013-06-19,378
19,2013-06-20,423
19,2013-06-21,428
19,2013-06-22,416
19,2013-06-23,477
19,2013-06-24,321
19,2013-06-25,345
19,2013-06-26,412
19,2013-06-27,370
19,2013-06-28,425
19,2013-06-29,445
19,2013-06-30,470
19,2013-07-01,336
19,2013-07-02,364
19,2013-07-03,401
19,2013-07-04,426
19,2013-07-05,454
19,2013-07-06,495
19,2013-07-07,547
19,2013-07-08,323
19,2013-07-09,423
19,2013-07-10,412
19,2013-07-11,433
19,2013-07-12,453
19,2013-07-13,513
19,2013-07-14,556
19,2013-07-15,329
19,2013-07-16,413
19,2013-07-17,405
19,2013-07-18,427
19,2013-07-19,483
19,2013-07-20,489
19,2013-07-21,492
19,2013-07-22,342
19,2013-07-23,406
19,2013-07-24,389
19,2013-07-25,443
19,2013-07-26,512
19,2013-07-27,472
19,2013-07-28,582
19,2013-07-29,345
19,2013-07-30,414
19,2013-07-31,411
19,2013-08-01,361
19,2013-08-02,393
19,2013-08-03,412
19,2013-08-04,447
19,2013-08-05,322
19,2013-08-06,340
19,2013-08-07,333
19,2013-08-08,366
19,2013-08-09,392
19,2013-08-10,436
19,2013-08-11,450
19,2013-08-12,312
19,2013-08-13,359
19,2013-08-14,339
19,2013-08-15,395
19,2013-08-16,409
19,2013-08-17,416
19,2013-08-18,471
19,2013-08-19,313
19,2013-08-20,367
19,2013-08-21,368
19,2013-08-22,388
19,2013-08-23,401
19,2013-08-24,424
19,2013-08-25,445
19,2013-08-26,287
19,2013-08-27,349
19,2013-08-28,360
19,2013-08-29,388
19,2013-08-30,412
19,2013-08-31,453
19,2013-09-01,417
19,2013-09-02,281
19,2013-09-03,318
19,2013-09-04,314
19,2013-09-05,364
19,2013-09-06,386
19,2013-09-07,388
19,2013-09-08,408
19,2013-09-09,273
19,2013-09-10,294
19,2013-09-11,325
19,2013-09-12,353
19,2013-09-13,394
19,2013-09-14,422
